Matrix,Time(ns)
eris1176,12573.0
std1_Jac3_db,291311.0
std1_Jac3,632968.0
lp_wood1p,23192.0
jendrec1,50519.0
lowThrust_5,193422.0
hangGlider_4,110951.0
brainpc2,134773.0
hangGlider_3,66881.0
lowThrust_7,219306.0
lowThrust_11,221036.0
lowThrust_3,57226.0
lowThrust_6,222475.0
lowThrust_12,225069.0
hangGlider_5,135694.0
Journals,7672.0
bloweybl,103540.0
heart1,550690.0
TSOPF_FS_b9_c6,81987.0
Sieber,13915.0
case9,94957.0
c-30,39411.0
vsp_c-30_data_data,143426.0
c-32,33854.0
freeFlyingRobot_10,31569.0
freeFlyingRobot_11,32945.0
freeFlyingRobot_12,33429.0
lowThrust_10,224893.0
lowThrust_13,230473.0
lowThrust_4,125558.0
lowThrust_8,228944.0
lowThrust_9,215396.0
lp_fit2p,44047.0
nd12k,14165200.0
std1_Jac2_db,279905.0
std1_Jac2,572993.0
