Matrix,Time(ns)
TS,13180.0
Chebyshev1,6824.0
oscil_dcop_25,5470.0
cis-n4c6-b1,4551.0
nemeth21,91437.0
lnsp_511,5633.0
plsk1919,6479.0
tub100,5241.0
flower_5_1,4638.0
dynamicSoaringProblem_2,8288.0
GL7d26,7060.0
fpga_dcop_05,5400.0
aa6,11380.0
lshp_406,6554.0
rajat11,4646.0
mnist_test_norm_10NN,29761.0
lp_share1b,4736.0
beacxc,10086.0
IG5-13,15179.0
ch7-8-b1,7124.0
aug2d,18566.0
rdb968,7628.0
raefsky3,105878.0
lowThrust_8,40122.0
adder_trans_01,8285.0
Franz6,14514.0
kineticBatchReactor_8,17279.0
PGPgiantcompo,14864.0
LFAT5000,17941.0
LF10,4963.0
qa8fk,144006.0
wang3,31251.0
lp_scrs8,5210.0
stormg2-27,29918.0
lhr10c,30620.0
vt2010,62086.0
sx-mathoverflow,68399.0
mk11-b2,9574.0
oscil_dcop_29,5112.0
ch5-5-b2,4916.0
bcsstk26,9239.0
2D_27628_bjtcai,64844.0
mcfe,10773.0
bcsstm01,4379.0
Alemdar,12268.0
majorbasis,168024.0
mhd3200a,15151.0
ukerbe1,7929.0
mimo46x46_system,16440.0
GD96_c,4561.0
small,5259.0
TF10,4560.0
venkat25,138473.0
eris1176,6787.0
fpga_dcop_48,5878.0
dw8192,10595.0
n4c5-b10,4580.0
lp_nug07,4848.0
nemsemm1,73404.0
wheel_5_1,4551.0
crew1,10647.0
t60k,43556.0
cavity23,21742.0
cca,33375.0
gams60am,6880.0
lp_pilot87,12761.0
Franz1,8013.0
n4c6-b15,4981.0
ex26,15012.0
wb-cs-stanford,12443.0
ts-palko,132078.0
bcspwr01,4443.0
bips07_1998,21681.0
fs_680_3,6632.0
oscil_dcop_03,5293.0
spaceStation_1,4859.0
netz4504,5954.0
ncvxqp1,19388.0
adder_dcop_03,8457.0
delf,8891.0
ex24,13240.0
can_445,7244.0
ex35,36994.0
jazz,5686.0
boyd1,333256.0
nos7,6054.0
n4c6-b2,5796.0
oscil_dcop_44,4959.0
ck104,4350.0
relat6,6476.0
Trec7,4048.0
adder_dcop_27,6491.0
bcspwr07,6261.0
lp_ship08s,5759.0
pltexpa,18117.0
nnc666,6012.0
TSOPF_RS_b9_c6,10633.0
plat362,5691.0
Trefethen_300,4817.0
init_adder1,7250.0
lp_qap15,14253.0
Erdos981,5589.0
rosen2,8632.0
bcsstm37,8732.0
str_200,5339.0
lp_agg,4813.0
Erdos991,5404.0
lp_fffff800,5776.0
adder_dcop_61,6424.0
freeFlyingRobot_16,9346.0
har_10NN,31163.0
ww_vref_6405,13466.0
mimo28x28_system,14901.0
Trefethen_500,7322.0
delaunay_n14,22710.0
lpi_bgprtr,4224.0
lp_scsd6,5093.0
IG5-18,234296.0
fs_183_3,4644.0
