Matrix,Time(ns)
dwt_307,6480.0
stokes64,23369.0
fpga_dcop_02,6695.0
GD06_theory,4737.0
bibd_12_4,5195.0
rdb200l,5076.0
windtunnel_evap2d,33542.0
Glass_10NN,4858.0
bmw3_2,1541800.0
gre_343,4790.0
GD96_b,4346.0
ch7-8-b3,31671.0
cz308,5689.0
refine,4668.0
ford1,23254.0
rim,94532.0
n3c6-b3,6817.0
large,9405.0
mesh1e1,4917.0
dwt_221,5453.0
adder_dcop_35,8785.0
mycielskian2,4235.0
ex7,13818.0
lp_sctap1,5311.0
lp_scfxm1,5558.0
can_61,4684.0
ch4-4-b2,4564.0
bbmat,181297.0
sctap1-2b,22825.0
dbir2,109889.0
fpga_dcop_32,6468.0
lpi_forest6,4825.0
oscil_dcop_23,5229.0
GL6_D_8,5262.0
Harvard500,5123.0
G29,9469.0
G65,9016.0
photogrammetry2,19564.0
n2c6-b10,5105.0
dwt_592,6079.0
av41092,212246.0
lung1,8415.0
aug3d,17747.0
jan99jac080,40632.0
ns3Da,164482.0
G14,6410.0
lp_cre_c,6812.0
fs_183_6,4628.0
jagmesh7,5276.0
karate,4134.0
lp_ship08l,6495.0
freeFlyingRobot_10,9616.0
CurlCurl_0,21806.0
G17,5579.0
ex27,9421.0
fpga_dcop_07,6636.0
lp_kb2,4654.0
n4c5-b8,7123.0
fpga_dcop_24,5276.0
fs_680_2,4976.0
rbsb480,7847.0
cdde2,5822.0
oscil_dcop_09,4891.0
G46,7325.0
mycielskian4,4385.0
adder_dcop_50,7038.0
fpga_dcop_34,5314.0
lp_scorpion,4919.0
email,6276.0
bwm200,4863.0
Tina_DisCal,4700.0
IG5-12,9887.0
nemeth23,113371.0
rail_5177,11312.0
plat1919,8373.0
Ga41As41H72,2433290.0
bcspwr03,4284.0
gupta1,255859.0
cdde4,5885.0
barth,7872.0
mark3jac060,47322.0
lp_cre_d,40256.0
lp_sierra,5676.0
bcsstk36,109877.0
bibd_9_5,6266.0
SiH4,24280.0
cavity16,19709.0
c-48,29520.0
g7jac020,12756.0
bp_1400,7070.0
odepb400,4973.0
rosen8,7612.0
wang2,9027.0
scsd8-2r,27170.0
lp_woodw,10020.0
shl_200,7140.0
Vehicle_10NN,6983.0
af_shell1,2190130.0
ex31,19709.0
matrix_9,173683.0
lp_degen2,6250.0
ch6-6-b3,7194.0
G55,7587.0
mk10-b2,6836.0
deter6,7958.0
oscil_dcop_30,4753.0
M80PI_n,6894.0
mark3jac020,11651.0
fpga_dcop_44,5295.0
rajat04,6671.0
scrs8-2r,11912.0
shl_0,5127.0
steam3,4366.0
Kaufhold,10529.0
192bit,33089.0
fpga_dcop_08,5495.0
adder_dcop_06,7576.0
adder_dcop_62,7516.0
wing,43632.0
bwm2000,7509.0
orsirr_2,7120.0
jagmesh8,6478.0
rajat12,8667.0
oscil_dcop_33,5861.0
ck656,6478.0
adder_dcop_30,7382.0
shl_400,5049.0
rel5,4613.0
G3,10175.0
n3c6-b9,8447.0
af_shell7,2195660.0
lshp1270,6168.0
dwa512,5559.0
bips07_2476,19138.0
illc1033,5605.0
n4c6-b3,7882.0
jagmesh9,6732.0
bp_0,5925.0
jagmesh4,5887.0
watson_1,148351.0
freeFlyingRobot_11,12160.0
cavity15,15238.0
c-23,11437.0
lp_ship04l,7104.0
Goodwin_017,17754.0
TF11,5631.0
cavity18,21334.0
bayer02,18657.0
utm1700b,9913.0
fpga_dcop_21,8243.0
G24,9888.0
fe_sphere,20256.0
Oregon-2,19478.0
model10,21221.0
piston,17834.0
dano3mip,19106.0
gams30a,5961.0
fxm2-16,10473.0
hep-th,12393.0
S40PI_n,7035.0
nemeth22,101236.0
cavity24,22419.0
lshp3025,8191.0
west2021,7410.0
bcsstk15,19558.0
Trefethen_700,6112.0
fpga_dcop_14,5407.0
bcsstk24,21355.0
delaunay_n12,8953.0
bcsstk02,5392.0
oscil_dcop_34,5645.0
lp_sc50b,4667.0
dynamicSoaringProblem_3,10806.0
rel7,14063.0
ukerbe1_dual,7897.0
n3c6-b1,4536.0
c-49,37472.0
qh768,5747.0
Trefethen_20,4311.0
cdde3,6056.0
bcsstk08,7711.0
lp_scsd1,5689.0
plantsmargin_12NN,8590.0
freeFlyingRobot_4,9549.0
plskz362,5308.0
D_7,9382.0
ex15,17623.0
Pd,8103.0
oscil_dcop_20,5002.0
c-46,23243.0
swang2,9781.0
appu,165758.0
S80PI_n,9150.0
lp_cycle,9665.0
cavity19,21445.0
nd12k,1795860.0
EPA,6365.0
lp_ship04s,5519.0
G59,11728.0
problem1,5372.0
NotreDame_yeast,5441.0
bcsstm13,7922.0
gre_216b,4522.0
ak2010,92652.0
ch7-6-b3,11570.0
TF15,17318.0
hydr1,9845.0
benzene,38698.0
tols1090,6562.0
aug3dcqp,32013.0
Raj1,182538.0
G36,7044.0
std1_Jac3,106347.0
bcsstm35,11432.0
lp_wood1p,17882.0
mycielskian8,7000.0
GD95_b,4910.0
west1505,7660.0
mk11-b4,17276.0
cat_ears_3_1,5645.0
