Matrix,Time(ns)
TS,12696.0
Chebyshev1,5091.0
oscil_dcop_25,4972.0
cis-n4c6-b1,4538.0
nemeth21,87227.0
lnsp_511,6304.0
plsk1919,5252.0
tub100,4673.0
flower_5_1,4663.0
dynamicSoaringProblem_2,8758.0
GL7d26,6839.0
fpga_dcop_05,7347.0
aa6,10805.0
lshp_406,6831.0
rajat11,4809.0
mnist_test_norm_10NN,33329.0
lp_share1b,4430.0
beacxc,10093.0
IG5-13,21069.0
ch7-8-b1,6280.0
aug2d,18269.0
rdb968,6503.0
raefsky3,105720.0
lowThrust_8,40124.0
adder_trans_01,7959.0
Franz6,14125.0
kineticBatchReactor_8,18992.0
PGPgiantcompo,17196.0
LFAT5000,16499.0
LF10,5296.0
qa8fk,142770.0
wang3,32718.0
lp_scrs8,6543.0
stormg2-27,29765.0
lhr10c,30150.0
vt2010,66162.0
sx-mathoverflow,101604.0
mk11-b2,8426.0
oscil_dcop_29,4893.0
ch5-5-b2,4722.0
bcsstk26,10174.0
2D_27628_bjtcai,71395.0
mcfe,9042.0
bcsstm01,4440.0
Alemdar,14646.0
majorbasis,182879.0
mhd3200a,27968.0
ukerbe1,10359.0
mimo46x46_system,15397.0
GD96_c,4456.0
small,5971.0
TF10,4865.0
venkat25,133953.0
eris1176,6567.0
fpga_dcop_48,5214.0
dw8192,10971.0
n4c5-b10,4698.0
lp_nug07,5112.0
nemsemm1,72697.0
wheel_5_1,4495.0
crew1,9791.0
t60k,42368.0
cavity23,21746.0
cca,34259.0
gams60am,7120.0
lp_pilot87,14386.0
Franz1,8037.0
n4c6-b15,4876.0
ex26,16357.0
wb-cs-stanford,11320.0
ts-palko,131634.0
bcspwr01,6034.0
bips07_1998,19176.0
fs_680_3,6423.0
oscil_dcop_03,4749.0
spaceStation_1,5168.0
netz4504,6590.0
ncvxqp1,20089.0
adder_dcop_03,8928.0
delf,9586.0
ex24,11460.0
can_445,6652.0
ex35,35887.0
jazz,5360.0
boyd1,348137.0
nos7,5926.0
n4c6-b2,6429.0
oscil_dcop_44,4722.0
ck104,4632.0
relat6,6306.0
Trec7,4166.0
adder_dcop_27,8890.0
bcspwr07,6114.0
lp_ship08s,6807.0
pltexpa,23334.0
nnc666,5886.0
TSOPF_RS_b9_c6,14819.0
plat362,6022.0
Trefethen_300,4780.0
init_adder1,8469.0
lp_qap15,18052.0
Erdos981,7268.0
rosen2,10033.0
bcsstm37,11509.0
str_200,6122.0
lp_agg,5550.0
Erdos991,4784.0
lp_fffff800,6228.0
adder_dcop_61,7285.0
freeFlyingRobot_16,12004.0
har_10NN,31635.0
ww_vref_6405,18026.0
mimo28x28_system,15285.0
Trefethen_500,6246.0
delaunay_n14,24376.0
lpi_bgprtr,4335.0
lp_scsd6,5168.0
IG5-18,235464.0
fs_183_3,4752.0
e18,38843.0
adder_dcop_65,8022.0
bloweya,28362.0
adder_dcop_10,6366.0
jan99jac040sc,19744.0
flower_5_4,12861.0
extr1,6512.0
bcsstm39,17546.0
ch4-4-b1,4703.0
lpi_cplex2,5676.0
ca-GrQc,10410.0
fome20,85808.0
n2c6-b3,5271.0
oscil_dcop_05,5066.0
spaceShuttleEntry_3,10528.0
ex8,19073.0
nemeth25,114612.0
lp_standgub,5268.0
cage,5084.0
kineticBatchReactor_6,16252.0
ASIC_320ks,566666.0
case9,24419.0
psse0,20971.0
lp_pds_10,37065.0
c-45,29792.0
bfwa62,4730.0
Goodwin_013,11969.0
oscil_dcop_57,6125.0
gemat12,11235.0
dolphins,4933.0
d_pretok,232921.0
plbuckle,7704.0
jan99jac020sc,9893.0
jagmesh6,6128.0
c-47,31725.0
lp_stocfor1,4884.0
qpband,15842.0
G66,9517.0
GL6_D_9,6968.0
g7jac060sc,34633.0
lpi_box1,4827.0
lhr04c,18069.0
memplus,28893.0
3elt,10205.0
fs_541_2,5629.0
cavity07,9825.0
p2p-Gnutella24,18404.0
p0201,5037.0
rdb450,5208.0
GD98_b,4511.0
jan99jac060,30829.0
lp_brandy,4980.0
G2,9988.0
n3c6-b8,14361.0
mk10-b3,7389.0
cnae9_10NN,8944.0
cz148,6113.0
Franz5,12382.0
can_161,5233.0
lshp_577,5437.0
ch7-7-b2,11000.0
YaleB_10NN,10251.0
aa4,10456.0
cep1,7836.0
oscil_dcop_53,4992.0
G30,10820.0
spaceStation_11,9071.0
email-Eu-core-temporal,6604.0
cr42,5645.0
stokes64s,22561.0
polblogs,7071.0
obstclae,40811.0
dwt_193,5285.0
kneser_6_2_1,5448.0
ca-HepTh,14310.0
cat_ears_4_4,36066.0
delaunay_n13,13241.0
cat_ears_2_4,6795.0
Trefethen_20b,4412.0
Hamrle1,4694.0
D_9,6404.0
impcol_e,5107.0
dwt_492,5076.0
email-Eu-core,8008.0
add20,7982.0
G10,9322.0
G18,7876.0
epb2,30488.0
dwt_992,6473.0
nos5,5725.0
hydr1c,10676.0
deter2,10691.0
adder_dcop_11,6804.0
N_reactome,15240.0
relat7b,17468.0
mult_dcop_02,65589.0
fpga_dcop_04,5701.0
lshp1882,6512.0
n2c6-b9,5188.0
lp_scsd8,6362.0
viscoplastic1,14208.0
bcsstm19,5193.0
D_10,5687.0
Zhao1,35180.0
boyd2,241800.0
lp_d2q06c,7850.0
n3c5-b7,4546.0
IG5-7,4549.0
lp_ganges,5876.0
2cubes_sphere,217107.0
scsd8-2c,18340.0
gas11,6419.0
dataset16mfeatkarhunen_10NN,8803.0
adder_dcop_21,8120.0
cavity08,10181.0
fd12,12135.0
soc-sign-bitcoin-alpha,9168.0
lp_qap12,9861.0
can_187,5613.0
rdb1250,7232.0
lp_greenbeb,11532.0
G67,13572.0
str_400,6159.0
af_shell4,2187100.0
bodyy4,25882.0
n4c6-b1,4840.0
bips98_606,12625.0
lp_scfxm3,6605.0
mesh2e1,5260.0
r05,18170.0
g7jac010sc,8896.0
mark3jac040sc,28490.0
rajat06,15966.0
relat4,4541.0
lp_vtp_base,5034.0
lp_capri,5355.0
Trec4,4343.0
g7jac060,50632.0
landmark,88251.0
lp_ship12s,9018.0
Ecoli_10NN,6665.0
p0291,4578.0
ex33,10031.0
poli,8793.0
saylr4,9766.0
shuttle_eddy,18923.0
lp_shell,6588.0
Chebyshev2,10105.0
GD97_b,4493.0
lp_sc105,4535.0
jan99jac080sc,50857.0
crystm01,18905.0
lp_nug15,18992.0
dwt_307,6461.0
stokes64,23015.0
fpga_dcop_02,5380.0
GD06_theory,5399.0
bibd_12_4,6084.0
rdb200l,6338.0
windtunnel_evap2d,33454.0
Glass_10NN,5100.0
bmw3_2,1538240.0
gre_343,4793.0
GD96_b,4188.0
ch7-8-b3,31988.0
cz308,5652.0
refine,4492.0
ford1,23767.0
rim,94742.0
n3c6-b3,7083.0
large,9693.0
mesh1e1,4471.0
dwt_221,5329.0
adder_dcop_35,8370.0
mycielskian2,4403.0
ex7,13091.0
lp_sctap1,5027.0
lp_scfxm1,5510.0
can_61,4595.0
ch4-4-b2,4131.0
bbmat,176634.0
sctap1-2b,22433.0
dbir2,98330.0
fpga_dcop_32,6431.0
lpi_forest6,4731.0
oscil_dcop_23,5106.0
GL6_D_8,6076.0
Harvard500,5269.0
G29,11175.0
G65,9482.0
photogrammetry2,11905.0
n2c6-b10,4637.0
dwt_592,6258.0
av41092,195926.0
lung1,8961.0
aug3d,16799.0
jan99jac080,52617.0
ns3Da,164963.0
G14,6552.0
lp_cre_c,7387.0
fs_183_6,4699.0
jagmesh7,5342.0
karate,4524.0
lp_ship08l,6765.0
freeFlyingRobot_10,9922.0
CurlCurl_0,19976.0
G17,5971.0
ex27,9035.0
fpga_dcop_07,7325.0
lp_kb2,4589.0
n4c5-b8,6935.0
fpga_dcop_24,6403.0
fs_680_2,5451.0
rbsb480,6694.0
cdde2,6090.0
oscil_dcop_09,4736.0
G46,7395.0
mycielskian4,4342.0
adder_dcop_50,6554.0
fpga_dcop_34,5850.0
lp_scorpion,4871.0
email,6631.0
bwm200,4510.0
Tina_DisCal,4522.0
IG5-12,9277.0
nemeth23,111558.0
rail_5177,11123.0
plat1919,9078.0
Ga41As41H72,2425820.0
bcspwr03,4643.0
gupta1,255349.0
cdde4,6212.0
barth,7841.0
mark3jac060,44264.0
lp_cre_d,37378.0
lp_sierra,6381.0
bcsstk36,107633.0
bibd_9_5,5881.0
SiH4,25625.0
cavity16,21432.0
c-48,35075.0
g7jac020,13957.0
bp_1400,5627.0
odepb400,5056.0
rosen8,5850.0
wang2,9022.0
scsd8-2r,26817.0
lp_woodw,10556.0
shl_200,6006.0
Vehicle_10NN,6835.0
af_shell1,2201160.0
ex31,20688.0
matrix_9,172252.0
lp_degen2,5716.0
ch6-6-b3,7150.0
G55,8311.0
mk10-b2,6417.0
deter6,7483.0
