Matrix,Time(ns)
TS,13129.0
Chebyshev1,6526.0
oscil_dcop_25,4945.0
cis-n4c6-b1,4739.0
nemeth21,87513.0
lnsp_511,5095.0
plsk1919,5300.0
tub100,4552.0
flower_5_1,4765.0
dynamicSoaringProblem_2,8582.0
GL7d26,7448.0
fpga_dcop_05,7010.0
aa6,10518.0
lshp_406,5808.0
rajat11,4874.0
mnist_test_norm_10NN,25770.0
lp_share1b,4600.0
beacxc,10266.0
IG5-13,16655.0
ch7-8-b1,6122.0
aug2d,18841.0
rdb968,6043.0
raefsky3,98718.0
lowThrust_8,40174.0
adder_trans_01,9623.0
Franz6,11371.0
kineticBatchReactor_8,18479.0
PGPgiantcompo,14395.0
LFAT5000,16409.0
LF10,4484.0
qa8fk,143795.0
wang3,32680.0
lp_scrs8,5050.0
stormg2-27,26336.0
lhr10c,29639.0
vt2010,60970.0
sx-mathoverflow,79959.0
mk11-b2,10001.0
oscil_dcop_29,5404.0
ch5-5-b2,4776.0
bcsstk26,10213.0
2D_27628_bjtcai,60058.0
mcfe,9214.0
bcsstm01,4524.0
Alemdar,12509.0
majorbasis,173418.0
mhd3200a,14563.0
ukerbe1,9047.0
mimo46x46_system,15510.0
GD96_c,4523.0
small,5674.0
TF10,4929.0
venkat25,140367.0
eris1176,6736.0
fpga_dcop_48,6052.0
dw8192,10822.0
n4c5-b10,4660.0
lp_nug07,5727.0
nemsemm1,71964.0
wheel_5_1,4478.0
crew1,10115.0
t60k,43154.0
cavity23,21542.0
cca,36103.0
gams60am,6172.0
lp_pilot87,12740.0
Franz1,7090.0
n4c6-b15,4759.0
ex26,16554.0
wb-cs-stanford,12071.0
ts-palko,131749.0
bcspwr01,4362.0
bips07_1998,18582.0
fs_680_3,6784.0
oscil_dcop_03,5840.0
spaceStation_1,4911.0
netz4504,8855.0
ncvxqp1,19856.0
adder_dcop_03,9122.0
delf,9250.0
ex24,11901.0
can_445,6981.0
ex35,36477.0
jazz,5355.0
boyd1,342480.0
nos7,7004.0
n4c6-b2,6137.0
oscil_dcop_44,4784.0
ck104,4895.0
relat6,6060.0
Trec7,4265.0
adder_dcop_27,5665.0
bcspwr07,5401.0
lp_ship08s,6080.0
pltexpa,21689.0
nnc666,4938.0
TSOPF_RS_b9_c6,11805.0
plat362,6113.0
Trefethen_300,5677.0
init_adder1,6882.0
lp_qap15,13688.0
Erdos981,5422.0
rosen2,8807.0
bcsstm37,11252.0
str_200,6580.0
lp_agg,5605.0
Erdos991,5130.0
lp_fffff800,6038.0
adder_dcop_61,6551.0
freeFlyingRobot_16,12673.0
har_10NN,34352.0
ww_vref_6405,18110.0
mimo28x28_system,16811.0
Trefethen_500,8601.0
delaunay_n14,29159.0
lpi_bgprtr,4640.0
lp_scsd6,5896.0
IG5-18,237212.0
fs_183_3,4791.0
e18,40661.0
adder_dcop_65,9712.0
bloweya,30157.0
adder_dcop_10,6406.0
jan99jac040sc,21882.0
flower_5_4,13436.0
extr1,7289.0
bcsstm39,17622.0
ch4-4-b1,4552.0
lpi_cplex2,4564.0
ca-GrQc,10061.0
fome20,86277.0
n2c6-b3,5572.0
oscil_dcop_05,4959.0
