Matrix,1 Threads
Trec4,614.0
Trec5,619.0
Trec6,629.0
Trec7,731.0
Trec8,1041.0
Trec9,1900.0
Trefethen_150,2122.0
Trefethen_20,744.0
Trefethen_200,2694.0
Trefethen_2000,26535.0
Trefethen_200b,2692.0
Trefethen_20b,735.0
Trefethen_300,3613.0
Trefethen_500,6273.0
Trefethen_700,8885.0
USAir97,3476.0
USpowerGrid,16103.0
Vehicle_10NN,8191.0
Wordnet3,489790.0
WorldCities,6519.0
YaleA_10NN,2254.0
YaleB_10NN,28928.0
Zd_Jac2,902408.0
Zd_Jac3,1013600.0
Zd_Jac6,928773.0
Zewail,66667.0
Zhao1,168072.0
Zhao2,167982.0
aa01,38268.0
aa03,39074.0
aa3,39085.0
aa4,23967.0
aa5,38523.0
aa6,24688.0
abb313,2169.0
abtaha1,42265.0
abtaha2,98658.0
add20,14197.0
add32,23235.0
adder_dcop_01,11196.0
adder_dcop_02,9864.0
adder_dcop_03,9895.0
adder_dcop_04,9882.0
adder_dcop_05,10346.0
adder_dcop_06,10367.0
adder_dcop_07,9819.0
adder_dcop_08,11168.0
adder_dcop_09,9854.0
adder_dcop_10,9888.0
adder_dcop_11,10356.0
adder_dcop_12,9872.0
adder_dcop_13,11164.0
adder_dcop_14,9955.0
adder_dcop_15,10049.0
adder_dcop_16,9928.0
adder_dcop_17,9980.0
adder_dcop_18,9944.0
adder_dcop_19,10281.0
adder_dcop_20,10299.0
adder_dcop_21,10412.0
adder_dcop_22,9927.0
adder_dcop_23,9790.0
adder_dcop_24,9835.0
adder_dcop_25,10106.0
adder_dcop_26,11483.0
adder_dcop_27,9905.0
adder_dcop_28,11124.0
adder_dcop_29,9859.0
adder_dcop_30,9924.0
adder_dcop_31,9849.0
adder_dcop_32,9823.0
adder_dcop_33,10046.0
adder_dcop_34,9959.0
adder_dcop_35,10623.0
adder_dcop_36,11159.0
adder_dcop_37,9981.0
adder_dcop_38,9936.0
adder_dcop_39,10233.0
adder_dcop_40,9953.0
adder_dcop_41,9908.0
adder_dcop_42,10341.0
adder_dcop_43,9851.0
adder_dcop_44,10156.0
adder_dcop_45,10078.0
adder_dcop_46,11167.0
adder_dcop_47,9964.0
adder_dcop_48,10193.0
adder_dcop_49,9990.0
adder_dcop_50,10006.0
adder_dcop_51,9919.0
adder_dcop_52,11473.0
adder_dcop_53,9983.0
adder_dcop_54,10020.0
adder_dcop_55,9922.0
adder_dcop_56,10072.0
adder_dcop_57,9910.0
adder_dcop_58,10168.0
adder_dcop_59,10965.0
adder_dcop_60,11272.0
adder_dcop_61,9933.0
adder_dcop_62,10120.0
adder_dcop_63,10022.0
adder_dcop_64,10094.0
adder_dcop_65,11283.0
adder_dcop_66,10188.0
adder_dcop_67,10063.0
adder_dcop_68,9899.0
adder_dcop_69,11118.0
adder_trans_01,12720.0
adder_trans_02,12722.0
adjnoun,1333.0
af_0_k101,17350800.0
af_1_k101,17080400.0
af_2_k101,17332600.0
af_3_k101,17361200.0
af_4_k101,17218800.0
af_5_k101,17293100.0
af_shell1,16616900.0
af_shell2,16595600.0
af_shell3,16597400.0
af_shell4,16357800.0
af_shell5,16605700.0
af_shell6,16463100.0
af_shell7,16666000.0
af_shell8,16610000.0
af_shell9,16673300.0
aft01,85613.0
air02,25093.0
air03,37405.0
air04,35273.0
air05,27246.0
air06,37797.0
aircraft,16877.0
airfoil1,21811.0
airfoil1_dual,28870.0
ak2010,668275.0
appu,1217750.0
arc130,1705.0
as-22july06,224116.0
as-735,26194.0
as-caida,286154.0
ash219,1015.0
ash292,2485.0
ash331,1275.0
ash608,1783.0
ash85,1116.0
ash958,2427.0
astro-ph,384863.0
aug2d,62395.0
aug2dc,63532.0
aug3d,65718.0
aug3dcqp,136644.0
av41092,1282210.0
b1_ss,634.0
b2_ss,5059.0
b_dyn,5061.0
barth,33987.0
barth4,22306.0
barth5,113400.0
bauru5727,359313.0
baxter,119759.0
bayer02,61261.0
bayer03,44718.0
bayer04,175919.0
bayer05,20882.0
bayer06,21522.0
bayer07,20897.0
bayer08,21963.0
bayer09,18726.0
bayer10,108179.0
bbmat,1377430.0
bcspwr01,768.0
bcspwr02,762.0
bcspwr03,1103.0
bcspwr04,2109.0
bcspwr05,2357.0
bcspwr06,6255.0
bcspwr07,6671.0
bcspwr08,6928.0
bcspwr09,7150.0
bcspwr10,22022.0
bcsstk01,886.0
bcsstk02,2968.0
bcsstk03,1168.0
bcsstk04,4080.0
bcsstk05,2268.0
bcsstk06,5844.0
bcsstk07,6919.0
bcsstk08,9424.0
bcsstk09,11686.0
bcsstk10,14603.0
bcsstk11,21735.0
bcsstk12,22482.0
bcsstk13,64368.0
bcsstk14,42032.0
bcsstk15,88256.0
bcsstk18,232632.0
bcsstk19,6263.0
bcsstk20,3581.0
bcsstk21,19889.0
bcsstk22,1250.0
bcsstk23,36193.0
bcsstk24,90178.0
bcsstk26,20545.0
bcsstk27,32998.0
bcsstk28,125996.0
bcsstk34,14006.0
bcsstk35,953426.0
bcsstk36,762739.0
bcsstk37,846238.0
bcsstm01,734.0
bcsstm02,713.0
bcsstm03,782.0
bcsstm04,815.0
bcsstm05,836.0
bcsstm06,1216.0
bcsstm07,5373.0
bcsstm08,2188.0
bcsstm09,2189.0
